"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:38:38"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:38:47"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:38:50"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:39:05"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:43:24"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:43:43"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:44:10"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:44:41"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:45:10"
"585"|"10.7767132"|"106.666033"|"0"|"0"|"1"|"2012-11-09 10:45:40"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:00:07"
"594"|"10.93947"|"106.54309"|"0"|"7"|"0"|"2012-11-09 00:00:37"
"594"|"10.93947"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:01:07"
"594"|"10.93948"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:01:37"
"594"|"10.93948"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:02:07"
"594"|"10.93948"|"106.5431"|"0"|"5"|"0"|"2012-11-09 00:02:37"
"594"|"10.93948"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:03:07"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:03:37"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:04:07"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:04:40"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:05:10"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:05:40"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:06:10"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:06:40"
"594"|"10.93947"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:07:10"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:07:40"
"594"|"10.93947"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:08:10"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:08:40"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:09:10"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:09:40"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:10:10"
"594"|"10.93947"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:10:40"
"594"|"10.93947"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:11:09"
"594"|"10.93947"|"106.5431"|"0"|"5"|"0"|"2012-11-09 00:11:39"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:12:09"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:12:39"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:13:09"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:13:39"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:14:09"
"594"|"10.93947"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:14:39"
"594"|"10.93948"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:15:09"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:15:39"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:16:09"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:16:39"
"594"|"10.93948"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:17:09"
"594"|"10.93948"|"106.54311"|"0"|"6"|"0"|"2012-11-09 00:17:39"
"594"|"10.93948"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:18:09"
"594"|"10.93948"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:18:39"
"594"|"10.93948"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:19:08"
"594"|"10.93948"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:19:38"
"594"|"10.93948"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:20:08"
"594"|"10.93947"|"106.54311"|"0"|"6"|"0"|"2012-11-09 00:20:38"
"594"|"10.93947"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:21:08"
