27|1|[27:25]
28|1|[28:27]
30|4|[30:41, 30:08, 30:40, 30:40]
31|2|[31:08, 31:20]
32|8|[32:35, 32:36, 32:22, 32:42, 32:47, 32:46, 32:42, 32:47]
33|7|[33:30, 33:56, 33:29, 33:31, 33:41, 33:31, 33:41]
34|15|[34:55, 34:15, 34:47, 34:55, 34:35, 34:12, 34:41, 34:25, 34:44, 34:15, 34:13, 34:17, 34:44, 34:13, 34:17]
35|17|[35:08, 35:00, 35:02, 35:45, 35:01, 35:03, 35:29, 35:03, 35:59, 35:13, 35:34, 35:50, 35:03, 35:59, 35:13, 35:34, 35:50]
36|5|[36:35, 36:29, 36:38, 36:24, 36:18]
37|11|[37:38, 37:21, 37:39, 37:47, 37:58, 37:39, 37:48, 37:59, 37:52, 37:54, 37:47]
38|26|[38:44, 38:05, 38:39, 38:51, 38:36, 38:07, 38:45, 38:30, 38:13, 38:37, 38:44, 38:27, 38:09, 38:09, 38:47, 38:34, 38:03, 38:07, 38:05, 38:39, 38:02, 38:24, 38:34, 38:03, 38:07, 38:24]
39|34|[39:44, 39:55, 39:41, 39:43, 39:39, 39:18, 39:47, 39:05, 39:41, 39:15, 39:53, 39:26, 39:27, 39:07, 39:01, 39:15, 39:54, 39:36, 39:24, 39:53, 39:50, 39:03, 39:30, 39:26, 39:35, 39:09, 39:24, 39:17, 39:54, 39:36, 39:50, 39:03, 39:30, 39:24]
40|45|[40:06, 40:11, 40:08, 40:58, 40:01, 40:48, 40:35, 40:00, 40:57, 40:44, 40:03, 40:55, 40:23, 40:39, 40:25, 40:44, 40:38, 40:12, 40:37, 40:37, 40:21, 40:39, 40:57, 40:23, 40:05, 40:49, 40:36, 40:13, 40:12, 40:55, 40:10, 40:14, 40:07, 40:48, 40:55, 40:32, 40:38, 40:49, 40:03, 40:49, 40:31, 40:05, 40:10, 40:14, 40:38]
41|91|[41:35, 41:50, 41:57, 41:15, 41:33, 41:49, 41:16, 41:54, 41:21, 41:57, 41:12, 41:51, 41:29, 41:18, 41:00, 41:59, 41:52, 41:09, 41:28, 41:59, 41:26, 41:40, 41:23, 41:20, 41:25, 41:04, 41:27, 41:49, 41:53, 41:16, 41:11, 41:09, 41:52, 41:34, 41:15, 41:39, 41:33, 41:31, 41:26, 41:44, 41:09, 41:41, 41:31, 41:20, 41:44, 41:09, 41:23, 41:24, 41:31, 41:33, 41:13, 41:39, 41:49, 41:03, 41:30, 41:56, 41:08, 41:41, 41:45, 41:55, 41:35, 41:45, 41:35, 41:52, 41:56, 41:20, 41:37, 41:27, 41:49, 41:52, 41:18, 41:43, 41:29, 41:43, 41:51, 41:42, 41:43, 41:57, 41:03, 41:44, 41:09, 41:31, 41:20, 41:44, 41:13, 41:08, 41:41, 41:52, 41:43, 41:57, 41:03]
42|154|[42:08, 42:22, 42:27, 42:23, 42:15, 42:48, 42:47, 42:45, 42:28, 42:20, 42:32, 42:28, 42:29, 42:38, 42:05, 42:02, 42:41, 42:33, 42:54, 42:56, 42:53, 42:48, 42:10, 42:23, 42:42, 42:33, 42:10, 42:51, 42:23, 42:07, 42:18, 42:26, 42:41, 42:04, 42:58, 42:00, 42:21, 42:50, 42:55, 42:48, 42:26, 42:10, 42:15, 42:08, 42:22, 42:53, 42:33, 42:35, 42:54, 42:35, 42:32, 42:31, 42:18, 42:17, 42:54, 42:31, 42:26, 42:55, 42:24, 42:16, 42:44, 42:06, 42:29, 42:15, 42:51, 42:46, 42:10, 42:47, 42:00, 42:04, 42:30, 42:54, 42:31, 42:52, 42:38, 42:23, 42:19, 42:07, 42:00, 42:56, 42:01, 42:40, 42:12, 42:00, 42:16, 42:09, 42:03, 42:04, 42:33, 42:30, 42:31, 42:38, 42:41, 42:32, 42:14, 42:30, 42:28, 42:49, 42:20, 42:24, 42:06, 42:36, 42:59, 42:47, 42:26, 42:41, 42:36, 42:24, 42:15, 42:21, 42:35, 42:54, 42:46, 42:07, 42:57, 42:05, 42:49, 42:28, 42:06, 42:02, 42:57, 42:21, 42:51, 42:48, 42:45, 42:01, 42:58, 42:30, 42:59, 42:38, 42:23, 42:19, 42:07, 42:56, 42:01, 42:40, 42:12, 42:00, 42:31, 42:38, 42:41, 42:32, 42:14, 42:30, 42:28, 42:20, 42:05, 42:49, 42:28, 42:06, 42:01, 42:58, 42:30, 42:59]
43|194|[43:38, 43:31, 43:02, 43:21, 43:49, 43:19, 43:56, 43:45, 43:08, 43:44, 43:47, 43:46, 43:11, 43:53, 43:41, 43:11, 43:55, 43:44, 43:54, 43:39, 43:22, 43:32, 43:27, 43:35, 43:55, 43:37, 43:19, 43:55, 43:07, 43:42, 43:42, 43:55, 43:20, 43:11, 43:20, 43:28, 43:50, 43:44, 43:35, 43:34, 43:52, 43:00, 43:58, 43:12, 43:31, 43:26, 43:56, 43:12, 43:01, 43:24, 43:52, 43:21, 43:04, 43:11, 43:40, 43:25, 43:25, 43:40, 43:59, 43:07, 43:34, 43:15, 43:43, 43:42, 43:06, 43:58, 43:00, 43:09, 43:18, 43:21, 43:59, 43:57, 43:25, 43:47, 43:34, 43:53, 43:26, 43:58, 43:46, 43:28, 43:50, 43:23, 43:47, 43:24, 43:49, 43:52, 43:31, 43:34, 43:23, 43:19, 43:00, 43:56, 43:19, 43:28, 43:45, 43:05, 43:41, 43:40, 43:44, 43:47, 43:12, 43:12, 43:10, 43:26, 43:00, 43:43, 43:50, 43:23, 43:08, 43:11, 43:19, 43:40, 43:30, 43:35, 43:56, 43:02, 43:02, 43:11, 43:01, 43:32, 43:40, 43:48, 43:03, 43:45, 43:09, 43:48, 43:23, 43:12, 43:12, 43:57, 43:34, 43:31, 43:02, 43:30, 43:12, 43:46, 43:15, 43:34, 43:17, 43:53, 43:18, 43:49, 43:17, 43:34, 43:58, 43:30, 43:25, 43:58, 43:23, 43:59, 43:24, 43:21, 43:08, 43:43, 43:32, 43:25, 43:47, 43:34, 43:53, 43:26, 43:58, 43:46, 43:28, 43:50, 43:23, 43:47, 43:24, 43:49, 43:52, 43:41, 43:40, 43:44, 43:47, 43:12, 43:10, 43:26, 43:19, 43:40, 43:30, 43:35, 43:56, 43:02, 43:02, 43:57, 43:34, 43:31, 43:02, 43:30, 43:59, 43:24, 43:21, 43:08, 43:43, 43:32]
