1|14|[01:05:17, 01:14:15, 01:40:38, 01:02:24, 01:14:42, 01:18:46, 01:00:20, 01:14:21, 01:14:35, 01:21:12, 01:33:45, 01:14:21, 01:21:12, 01:33:45]
30|2|[30:57, 30:13]
31|1|[31:58]
32|5|[32:42, 32:41, 32:35, 32:00, 32:52]
33|6|[33:05, 33:48, 33:55, 33:25, 33:45, 33:45]
34|7|[34:25, 34:30, 34:11, 34:09, 34:19, 34:30, 34:59]
35|15|[35:22, 35:51, 35:01, 35:03, 35:16, 35:41, 35:24, 35:29, 35:19, 35:59, 35:56, 35:31, 35:16, 35:59, 35:56]
36|23|[36:15, 36:56, 36:57, 36:40, 36:40, 36:00, 36:45, 36:50, 36:33, 36:04, 36:36, 36:52, 36:55, 36:47, 36:20, 36:02, 36:49, 36:36, 36:10, 36:47, 36:49, 36:36, 36:10]
37|46|[37:49, 37:44, 37:00, 37:47, 37:21, 37:43, 37:50, 37:48, 37:18, 37:28, 37:36, 37:55, 37:21, 37:39, 37:20, 37:08, 37:49, 37:34, 37:23, 37:57, 37:09, 37:06, 37:51, 37:39, 37:28, 37:49, 37:57, 37:30, 37:35, 37:31, 37:58, 37:16, 37:48, 37:49, 37:10, 37:31, 37:47, 37:57, 37:09, 37:06, 37:39, 37:28, 37:49, 37:10, 37:31, 37:47]
38|65|[38:37, 38:43, 38:44, 38:28, 38:58, 38:51, 38:41, 38:58, 38:25, 38:36, 38:01, 38:23, 38:38, 38:50, 38:51, 38:05, 38:27, 38:08, 38:17, 38:39, 38:45, 38:55, 38:32, 38:05, 38:13, 38:34, 38:53, 38:30, 38:03, 38:29, 38:25, 38:52, 38:31, 38:57, 38:21, 38:55, 38:58, 38:59, 38:12, 38:22, 38:55, 38:41, 38:32, 38:48, 38:47, 38:52, 38:46, 38:00, 38:04, 38:17, 38:55, 38:25, 38:46, 38:34, 38:53, 38:30, 38:03, 38:29, 38:21, 38:32, 38:48, 38:17, 38:55, 38:25, 38:46]
