X1,X2,X3,X4,X5,Total
260,663,180,871,578,2552
540,512,360,600,569,2581
600,180,540,750,424,2494
584,759,155,632,420,2550
106,594,413,676,591,2380
600,570,240,600,510,2520
748,480,450,660,300,2638
691,560,466,480,390,2587
150,939,354,570,450,2463
750,210,720,540,94,2314
840,690,602,420,60,2612
600,420,210,690,570,2490
689,270,450,510,450,2369
120,700,540,660,632,2652
90,600,570,960,510,2730
660,540,540,602,330,2672
240,900,180,871,690,2881
780,300,300,750,480,2610
600,300,390,575,504,2369
90,660,720,570,420,2460
150,750,600,870,270,2640
630,360,510,631,500,2631
720,600,420,420,420,2580
903,509,450,556,120,2538
