1,260,663,180,871,578,2552
   04:20,11:03,03:00,14:31,09:38,42:32
   10.19,25.98,7.05,34.13,22.65,100
   8284,9974,8288,8175,6117,40838
2,540,512,360,600,569,2581
   09:00,08:32,06:00,10:00,09:29,43:01
   20.92,19.84,13.95,23.25,22.05,100
   6035,6286,6190,6068,5488,30067
3,600,180,540,750,424,2494
   10:00,03:00,09:00,12:30,07:04,41:34
   24.06,7.22,21.65,30.07,17.0,100
   7657,7701,7413,7482,6515,36768
4,584,759,155,632,420,2550
   09:44,12:39,02:35,10:32,07:00,42:30
   22.9,29.76,6.08,24.78,16.47,100
   6350,6351,6236,6231,5132,30300
5,106,594,413,676,591,2380
   01:46,09:54,06:53,11:16,09:51,39:40
   4.45,24.96,17.35,28.4,24.83,100
   9468,7948,7961,8339,5934,39650
6,600,570,240,600,510,2520
   10:00,09:30,04:00,10:00,08:30,42:00
   23.53,22.35,9.41,23.53,20.0,100
   7305,5357,5507,5498,6041,29708
7,748,480,450,660,300,2638
   12:28,08:00,07:30,11:00,05:00,43:58
   28.35,18.2,17.06,25.02,11.37,100
   7031,7852,7367,7169,5465,34884
8,691,560,466,480,390,2587
   11:31,09:20,07:46,08:00,06:30,43:07
   26.71,21.65,18.01,18.55,15.08,100
   5059,4853,5109,5022,4004,24047
9,150,939,354,570,450,2463
   02:30,15:39,05:54,09:30,07:30,41:03
   6.09,38.12,14.37,23.14,18.27,100
   7446,6843,7455,6575,4324,32643
10,750,210,720,540,94,2314
   12:30,03:30,12:00,09:00,01:34,38:34
   32.41,9.08,31.11,23.34,4.06,100
   10068,8658,7999,8034,5094,39853
11,840,690,602,420,60,2612
   14:00,11:30,10:02,07:00,01:00,43:32
   32.16,26.42,23.05,16.08,2.3,100
   8504,9796,8516,12108,3326,42250
12,600,420,210,690,570,2490
   10:00,07:00,03:30,11:30,09:30,41:30
   24.1,16.87,8.43,27.71,22.89,100
   7207,7189,8142,7200,5062,34800
13,689,270,450,510,450,2369
   11:29,04:30,07:30,08:30,07:30,39:29
   29.08,11.4,19.0,21.53,19.0,100
   5419,5258,5394,5209,4545,25825
14,120,700,540,660,632,2652
   02:00,11:40,09:00,11:00,10:32,44:12
   4.52,26.4,20.36,24.89,23.83,100
   7336,7082,7268,7027,6034,34747
15,90,600,570,960,510,2730
   01:30,10:00,09:30,16:00,08:30,45:30
   3.3,21.98,20.88,35.16,18.68,100
   10475,10669,9419,9415,6711,46689
16,660,540,540,602,330,2672
   11:00,09:00,09:00,10:02,05:30,44:32
   24.7,20.21,20.21,22.53,12.35,100
   5670,5538,5764,5502,4514,26988
17,240,900,180,871,690,2881
   04:00,15:00,03:00,14:31,11:30,48:01
   8.33,31.24,6.25,30.23,23.95,100
   7996,8131,7767,7861,6466,38221
18,780,300,300,750,480,2610
   13:00,05:00,05:00,12:30,08:00,43:30
   29.89,11.49,11.49,28.74,18.39,100
   7211,7212,9526,7142,4287,35378
19,600,300,390,575,504,2369
   10:00,05:00,06:30,09:35,08:24,39:29
   25.33,12.66,16.46,24.27,21.27,100
   6018,5892,6122,6029,5143,29204
20,90,660,720,570,420,2460
   01:30,11:00,12:00,09:30,07:00,41:00
   3.66,26.83,29.27,23.17,17.07,100
   7447,6467,6509,6107,3950,30480
21,150,750,600,870,270,2640
   02:30,12:30,10:00,14:30,04:30,44:00
   5.68,28.41,22.73,32.95,10.23,100
   10541,9596,8584,8303,4469,41493
22,630,360,510,631,500,2631
   10:30,06:00,08:30,10:31,08:20,43:51
   23.95,13.68,19.38,23.98,19.0,100
   5382,5373,5382,5542,4871,26550
23,720,600,420,420,420,2580
   12:00,10:00,07:00,07:00,07:00,43:00
   27.91,23.26,16.28,16.28,16.28,100
   4557,4501,4620,4561,3798,22037
24,903,509,450,556,120,2538
   15:03,08:29,07:30,09:16,02:00,42:18
   35.58,20.06,17.73,21.91,4.73,100
   5035,5364,5271,5296,4129,25095
