19,23,19,29,3,onTime
low,low,very low,high,low,onTime
16,14,40,21,0,onTime
low,very low,medium,medium,very low,onTime
19,23,48,13,0,onTime
low,low,medium,low,very low,onTime
14,27,43,12,0,onTime
low,low,medium,low,very low,onTime
13,33,44,9,0,onTime
very low,medium,medium,low,very low,onTime
15,30,40,15,0,onTime
low,medium,medium,low,very low,onTime
27,21,41,9,4,onTime
low,low,medium,low,medium,onTime
20,19,34,22,0,onTime
low,low,low,medium,very low,onTime
20,42,21,16,4,onTime
low,high,very low,medium,medium,onTime
28,30,29,11,6,onTime
medium,medium,low,low,high,onTime
36,24,25,16,6,onTime
medium,low,low,medium,high,onTime
18,38,20,18,3,onTime
low,medium,very low,medium,low,onTime
16,30,30,18,3,onTime
low,medium,low,medium,low,onTime
20,29,36,15,1,onTime
low,medium,low,low,very low,onTime
19,19,30,27,0,onTime
low,low,low,high,very low,onTime
17,24,31,21,4,onTime
low,low,low,medium,medium,onTime
9,43,21,16,4,onTime
very low,high,very low,medium,medium,onTime
16,16,39,19,3,onTime
low,low,medium,medium,low,onTime
17,34,38,12,0,onTime
low,medium,medium,low,very low,onTime
23,30,30,14,5,onTime
low,medium,low,low,medium,onTime
12,15,38,24,0,onTime
very low,very low,medium,high,very low,onTime
13,21,39,18,1,onTime
very low,low,medium,medium,very low,onTime
13,28,43,14,0,onTime
very low,low,medium,low,very low,onTime
14,29,51,6,0,onTime
low,medium,high,very low,very low,onTime
18,23,52,6,0,onTime
low,low,high,very low,very low,onTime
9,18,16,27,8,onTime
very low,low,very low,high,high,onTime
27,15,28,25,2,onTime
low,very low,low,high,low,onTime
14,25,45,14,0,onTime
low,low,medium,low,very low,onTime
17,15,28,27,1,onTime
low,very low,low,high,very low,onTime
13,14,19,31,6,onTime
very low,very low,very low,high,high,onTime
14,28,32,13,5,onTime
low,low,low,low,medium,onTime
18,32,35,10,5,onTime
low,medium,low,low,medium,onTime
18,22,19,24,6,onTime
low,low,very low,high,high,onTime
22,8,26,34,0,onTime
low,very low,low,very high,very low,onTime
13,33,27,14,6,onTime
very low,medium,low,low,high,onTime
14,36,32,12,4,onTime
low,medium,low,low,medium,onTime
19,17,23,25,5,onTime
low,low,very low,high,medium,onTime
10,22,50,14,0,onTime
very low,low,high,low,very low,onTime
10,40,36,12,0,onTime
very low,medium,low,low,very low,onTime
16,12,23,30,5,onTime
low,very low,very low,high,medium,onTime
18,25,24,26,2,onTime
low,low,low,high,low,onTime
15,33,40,12,6,onTime
low,medium,medium,low,high,onTime
16,17,31,22,3,onTime
low,low,low,medium,low,onTime
26,15,48,15,0,onTime
