id,source name,destination name,departure time,arrival time,seconds,duration
1,An Suong, Cu Chi, 2012-11-10 05:44:59, 2012-11-10 06:27:59, 2580, 00:43:00
2,An Suong, Cu Chi, 2012-11-10 08:16:01, 2012-11-10 08:59:31, 2610, 00:43:30
3,An Suong, Cu Chi, 2012-11-10 10:15:32, 2012-11-10 10:59:03, 2611, 00:43:31
4,An Suong, Cu Chi, 2012-11-10 16:13:29, 2012-11-10 17:02:00, 2911, 00:48:31
5,An Suong, Cu Chi, 2012-11-10 18:10:02, 2012-11-10 18:54:02, 2640, 00:44:00
6,An Suong, Cu Chi, 2012-11-11 04:48:42, 2012-11-11 05:32:19, 2617, 00:43:37
7,An Suong, Cu Chi, 2012-11-11 07:45:12, 2012-11-11 08:30:14, 2702, 00:45:02
8,An Suong, Cu Chi, 2012-11-11 09:39:14, 2012-11-11 10:20:44, 2490, 00:41:30
9,An Suong, Cu Chi, 2012-11-11 11:28:19, 2012-11-11 12:12:46, 2667, 00:44:27
10,An Suong, Cu Chi, 2012-11-11 14:03:18, 2012-11-11 14:47:20, 2642, 00:44:02
11,An Suong, Cu Chi, 2012-11-14 07:32:00, 2012-11-14 08:13:33, 2493, 00:41:33
12,An Suong, Cu Chi, 2012-11-14 11:45:58, 2012-11-14 12:28:02, 2524, 00:42:04
13,An Suong, Cu Chi, 2012-11-14 13:48:31, 2012-11-14 14:34:31, 2760, 00:46:00
14,An Suong, Cu Chi, 2012-11-14 15:56:03, 2012-11-14 16:40:45, 2682, 00:44:42
15,An Suong, Cu Chi, 2012-11-15 06:52:08, 2012-11-15 07:32:19, 2411, 00:40:11
16,An Suong, Cu Chi, 2012-11-15 09:10:55, 2012-11-15 09:55:16, 2661, 00:44:21
17,An Suong, Cu Chi, 2012-11-15 11:22:52, 2012-11-15 12:05:40, 2568, 00:42:48
18,An Suong, Cu Chi, 2012-11-15 17:57:47, 2012-11-15 18:39:47, 2520, 00:42:00
19,An Suong, Cu Chi, 2012-11-15 20:15:18, 2012-11-15 20:54:22, 2344, 00:39:04
20,An Suong, Cu Chi, 2012-11-16 06:06:21, 2012-11-16 06:49:24, 2583, 00:43:03
21,An Suong, Cu Chi, 2012-11-16 08:32:14, 2012-11-16 09:12:13, 2399, 00:39:59
22,An Suong, Cu Chi, 2012-11-16 10:29:46, 2012-11-16 11:09:45, 2399, 00:39:59
23,An Suong, Cu Chi, 2012-11-16 16:13:39, 2012-11-16 16:56:40, 2581, 00:43:01
24,An Suong, Cu Chi, 2012-11-16 18:08:22, 2012-11-16 18:52:52, 2670, 00:44:30
