id,source name,destination name,departure time,arrival time,seconds,duration
1,Cu Chi, An Suong, 2012-11-10 04:47:53, 2012-11-10 05:30:16, 2543, 00:42:23
2,Cu Chi, An Suong, 2012-11-10 07:22:29, 2012-11-10 08:05:31, 2582, 00:43:02
3,Cu Chi, An Suong, 2012-11-10 09:22:01, 2012-11-10 10:06:32, 2671, 00:44:31
4,Cu Chi, An Suong, 2012-11-10 15:18:29, 2012-11-10 16:00:29, 2520, 00:42:00
5,Cu Chi, An Suong, 2012-11-10 17:17:00, 2012-11-10 18:00:02, 2582, 00:43:02
6,Cu Chi, An Suong, 2012-11-11 06:54:51, 2012-11-11 07:37:42, 2571, 00:42:51
7,Cu Chi, An Suong, 2012-11-11 08:47:14, 2012-11-11 09:29:44, 2550, 00:42:30
8,Cu Chi, An Suong, 2012-11-11 10:33:45, 2012-11-11 11:17:45, 2640, 00:44:00
9,Cu Chi, An Suong, 2012-11-11 13:12:18, 2012-11-11 13:51:18, 2340, 00:39:00
10,Cu Chi, An Suong, 2012-11-14 06:38:38, 2012-11-14 07:22:30, 2632, 00:43:52
11,Cu Chi, An Suong, 2012-11-14 10:52:07, 2012-11-14 11:33:58, 2511, 00:41:51
12,Cu Chi, An Suong, 2012-11-14 12:54:30, 2012-11-14 13:33:02, 2312, 00:38:32
13,Cu Chi, An Suong, 2012-11-14 15:00:31, 2012-11-14 15:41:34, 2463, 00:41:03
14,Cu Chi, An Suong, 2012-11-15 05:56:01, 2012-11-15 06:39:37, 2616, 00:43:36
15,Cu Chi, An Suong, 2012-11-15 08:17:23, 2012-11-15 09:00:25, 2582, 00:43:02
16,Cu Chi, An Suong, 2012-11-15 10:28:18, 2012-11-15 11:17:38, 2960, 00:49:20
17,Cu Chi, An Suong, 2012-11-15 17:00:29, 2012-11-15 17:42:45, 2536, 00:42:16
18,Cu Chi, An Suong, 2012-11-15 19:10:30, 2012-11-15 19:45:18, 2088, 00:34:48
19,Cu Chi, An Suong, 2012-11-16 05:10:51, 2012-11-16 05:54:14, 2603, 00:43:23
20,Cu Chi, An Suong, 2012-11-16 07:39:12, 2012-11-16 08:20:42, 2490, 00:41:30
21,Cu Chi, An Suong, 2012-11-16 09:33:44, 2012-11-16 10:19:13, 2729, 00:45:29
22,Cu Chi, An Suong, 2012-11-16 15:18:09, 2012-11-16 16:00:33, 2544, 00:42:24
23,Cu Chi, An Suong, 2012-11-16 17:17:29, 2012-11-16 17:58:31, 2462, 00:41:02
